phenomenonTime,water depth (m),CTD temperature (°C)
1957-05-14T00:00:00Z,10.0,7.2
1957-06-04T00:00:00Z,10.0,10.2
1957-06-14T00:00:00Z,10.0,12.6
1957-07-05T00:00:00Z,10.0,11.0
1957-07-30T00:00:00Z,10.0,16.3
1957-09-09T00:00:00Z,10.0,12.5
1957-10-31T00:00:00Z,10.0,11.1
1957-11-07T00:00:00Z,10.0,10.2
1957-11-28T00:00:00Z,10.0,7.2
1957-12-19T00:00:00Z,10.0,3.7
1958-01-15T00:00:00Z,10.0,2.5
1958-01-31T00:00:00Z,10.0,1.6
1958-03-20T00:00:00Z,10.0,0.5
1958-04-10T00:00:00Z,10.0,2.0
1958-05-07T00:00:00Z,10.0,4.5
1958-05-30T00:00:00Z,10.0,10.1
1958-06-19T00:00:00Z,10.0,13.2
1958-07-02T00:00:00Z,10.0,13.9
1958-07-23T00:00:00Z,10.0,13.4
1958-08-16T00:00:00Z,10.0,15.8
1958-09-01T00:00:00Z,10.0,15.9
1958-10-28T00:00:00Z,10.0,11.9
1958-11-25T00:00:00Z,10.0,8.3
1958-12-17T00:00:00Z,10.0,5.6
1959-01-20T00:00:00Z,10.0,3.0
1959-02-11T00:00:00Z,10.0,1.7
1959-03-09T00:00:00Z,10.0,2.3
1959-03-24T00:00:00Z,10.0,3.1
1959-05-12T00:00:00Z,10.0,9.4
1959-06-09T00:00:00Z,10.0,8.6
1959-07-06T00:00:00Z,10.0,15.7
1959-07-23T00:00:00Z,10.0,18.7
1959-08-28T00:00:00Z,10.0,19.1
1959-10-09T00:00:00Z,10.0,13.8
1959-10-26T00:00:00Z,10.0,12.3
1959-12-19T00:00:00Z,10.0,4.4
1960-01-06T00:00:00Z,10.0,4.6
1960-01-26T00:00:00Z,10.0,2.6
1960-02-11T00:00:00Z,10.0,0.8
1960-03-02T00:00:00Z,10.0,1.5
1960-03-31T00:00:00Z,10.0,2.0
1960-04-27T00:00:00Z,10.0,6.2
1960-05-30T00:00:00Z,10.0,10.1
1960-06-21T00:00:00Z,10.0,14.6
1960-07-06T00:00:00Z,10.0,13.3
1960-08-16T00:00:00Z,10.0,17.1
1960-09-06T00:00:00Z,10.0,16.0
1960-10-18T00:00:00Z,10.0,10.0
1960-11-08T00:00:00Z,10.0,9.6
1960-12-15T00:00:00Z,10.0,5.4
1961-01-27T00:00:00Z,10.0,1.4
1961-02-15T00:00:00Z,10.0,2.7
1961-03-13T00:00:00Z,10.0,3.7
1961-04-12T00:00:00Z,10.0,6.0
1961-05-25T00:00:00Z,10.0,10.8
1961-06-12T00:00:00Z,10.0,11.9
1961-07-12T00:00:00Z,10.0,14.1
1961-08-02T00:00:00Z,10.0,15.3
1961-09-07T00:00:00Z,10.0,14.8
1961-10-11T00:00:00Z,10.0,14.4
1961-11-16T00:00:00Z,10.0,9.1
1961-12-14T00:00:00Z,10.0,6.3
1962-03-06T00:00:00Z,10.0,0.9
1962-03-27T00:00:00Z,10.0,1.4
1962-04-18T00:00:00Z,10.0,3.6
1962-05-09T00:00:00Z,10.0,4.5
1962-05-24T00:00:00Z,10.0,6.2
1962-06-21T00:00:00Z,10.0,5.5
1962-07-18T00:00:00Z,10.0,16.6
1962-08-15T00:00:00Z,10.0,13.1
1962-09-05T00:00:00Z,10.0,13.0
1962-10-10T00:00:00Z,10.0,13.8
1962-10-25T00:00:00Z,10.0,12.8
1962-11-19T00:00:00Z,10.0,7.5
1962-12-11T00:00:00Z,10.0,5.3
1963-03-28T00:00:00Z,10.0,-0.3
1963-04-08T00:00:00Z,10.0,0.6
1963-05-15T00:00:00Z,10.0,1.4
1963-06-05T00:00:00Z,10.0,7.0
1963-07-02T00:00:00Z,10.0,9.9
1963-08-06T00:00:00Z,10.0,15.4
1963-09-03T00:00:00Z,10.0,14.5
1963-10-03T00:00:00Z,10.0,13.2
1963-11-04T00:00:00Z,10.0,10.1
1963-12-02T00:00:00Z,10.0,-9.9
1964-02-04T00:00:00Z,10.0,2.9
1964-02-25T00:00:00Z,10.0,1.0
1964-03-17T00:00:00Z,10.0,0.2
1964-04-07T00:00:00Z,10.0,1.0
1964-05-13T00:00:00Z,10.0,5.9
1964-06-09T00:00:00Z,10.0,11.1
1964-07-21T00:00:00Z,10.0,14.9
1964-08-27T00:00:00Z,10.0,15.9
1964-09-10T00:00:00Z,10.0,15.8
1964-10-20T00:00:00Z,10.0,11.4
1964-11-17T00:00:00Z,10.0,9.5
1964-12-15T00:00:00Z,10.0,6.8
1965-01-19T00:00:00Z,10.0,4.1
1965-02-17T00:00:00Z,10.0,1.7
1965-03-16T00:00:00Z,10.0,0.7
1965-04-24T00:00:00Z,10.0,4.8
1965-05-11T00:00:00Z,10.0,7.2
1965-06-15T00:00:00Z,10.0,13.5
1965-07-21T00:00:00Z,10.0,12.4
1965-08-24T00:00:00Z,10.0,16.1
1965-09-07T00:00:00Z,10.0,15.1
1965-10-05T00:00:00Z,10.0,14.1
1965-11-02T00:00:00Z,10.0,12.2
1965-12-07T00:00:00Z,10.0,4.5
1966-01-18T00:00:00Z,10.0,0.7
1966-03-14T00:00:00Z,10.0,0.9
1966-04-05T00:00:00Z,10.0,2.4
1966-05-10T00:00:00Z,10.0,5.2
1966-06-23T00:00:00Z,10.0,14.3
1966-07-12T00:00:00Z,10.0,9.6
1966-08-02T00:00:00Z,10.0,9.6
1966-10-03T00:00:00Z,10.0,13.3
1966-10-31T00:00:00Z,10.0,10.8
1966-12-06T00:00:00Z,10.0,7.0
1967-02-07T00:00:00Z,10.0,3.2
1967-03-06T00:00:00Z,10.0,3.0
1967-04-05T00:00:00Z,10.0,4.6
1967-05-08T00:00:00Z,10.0,7.2
1967-06-05T00:00:00Z,10.0,12.0
1967-07-03T00:00:00Z,10.0,12.6
1967-08-01T00:00:00Z,10.0,15.8
1967-09-18T00:00:00Z,10.0,14.4
1967-10-10T00:00:00Z,10.0,13.0
1967-11-06T00:00:00Z,10.0,10.1
1967-12-04T00:00:00Z,10.0,6.8
1968-01-08T00:00:00Z,10.0,2.9
1968-01-29T00:00:00Z,10.0,1.3
1968-02-20T00:00:00Z,10.0,1.0
1968-03-18T00:00:00Z,10.0,1.5
1968-04-02T00:00:00Z,10.0,3.7
1968-05-06T00:00:00Z,10.0,7.1
1968-06-12T00:00:00Z,10.0,13.3
1968-07-03T00:00:00Z,10.0,7.6
1968-08-19T00:00:00Z,10.0,16.7
1968-09-16T00:00:00Z,10.0,17.0
1968-10-21T00:00:00Z,10.0,12.0
1968-11-18T00:00:00Z,10.0,7.2
1968-12-19T00:00:00Z,10.0,4.1
1969-01-14T00:00:00Z,10.0,1.5
1969-02-25T00:00:00Z,10.0,0.1
1969-03-24T00:00:00Z,10.0,0.1
1969-04-22T00:00:00Z,10.0,2.1
1969-05-13T00:00:00Z,10.0,6.7
1969-06-18T00:00:00Z,10.0,10.7
1969-07-23T00:00:00Z,10.0,10.4
1969-08-15T00:00:00Z,10.0,18.9
1969-09-09T00:00:00Z,10.0,17.0
1969-10-06T00:00:00Z,10.0,13.5
1969-11-05T00:00:00Z,10.0,10.9
1969-12-02T00:00:00Z,10.0,5.8
1970-01-07T00:00:00Z,10.0,-0.1
1970-02-04T00:00:00Z,10.0,-0.7
1970-03-16T00:00:00Z,10.0,-0.4
1970-04-06T00:00:00Z,10.0,1.1
1970-05-19T00:00:00Z,10.0,8.4
1970-06-09T00:00:00Z,10.0,7.8
1970-07-14T00:00:00Z,10.0,12.9
1970-08-20T00:00:00Z,10.0,13.4
1970-09-29T00:00:00Z,10.0,13.3
1970-10-15T00:00:00Z,10.0,12.6
1970-11-02T00:00:00Z,10.0,10.6
1970-12-01T00:00:00Z,10.0,7.5
1971-01-19T00:00:00Z,10.0,2.0
1971-02-10T00:00:00Z,10.0,2.6
1971-03-11T00:00:00Z,10.0,0.8
1971-04-07T00:00:00Z,10.0,2.4
1971-05-10T00:00:00Z,10.0,6.6
1971-06-08T00:00:00Z,10.0,10.5
1971-07-13T00:00:00Z,10.0,17.9
1971-09-01T00:00:00Z,10.0,15.0
1971-10-05T00:00:00Z,10.0,14.0
1971-11-04T00:00:00Z,10.0,11.5
1971-12-06T00:00:00Z,10.0,6.2
1972-01-11T00:00:00Z,10.0,3.5
1972-02-08T00:00:00Z,10.0,-0.5
1972-03-08T00:00:00Z,10.0,0.7
1972-04-04T00:00:00Z,10.0,3.2
1972-05-05T00:00:00Z,8.0,6.5
1972-05-05T00:00:00Z,10.0,6.1
1972-06-12T00:00:00Z,10.0,10.3
1972-08-17T00:00:00Z,10.0,12.7
1972-09-11T00:00:00Z,10.0,16.1
1972-10-16T00:00:00Z,10.0,11.8
1972-11-08T00:00:00Z,7.0,10.3
1972-11-08T00:00:00Z,9.0,10.5
1972-11-08T00:00:00Z,10.0,10.4
1972-11-30T00:00:00Z,10.0,6.7
1973-01-11T00:00:00Z,10.0,3.1
1973-02-06T00:00:00Z,10.0,2.9
1973-02-06T00:00:00Z,11.0,3.0
1973-03-07T00:00:00Z,10.0,3.4
1973-03-07T00:00:00Z,11.0,3.4
1973-04-02T00:00:00Z,10.0,3.9
1973-05-02T00:00:00Z,10.0,5.6
1973-05-28T00:00:00Z,10.0,11.5
1973-07-05T00:00:00Z,10.0,18.2
1973-07-05T00:00:00Z,11.0,18.3
1973-07-30T00:00:00Z,9.0,17.7
1973-07-30T00:00:00Z,10.0,17.5
1973-07-30T00:00:00Z,12.0,16.5
1973-09-05T00:00:00Z,10.0,15.6
1973-10-05T00:00:00Z,10.0,13.8
1973-10-31T00:00:00Z,10.0,9.8
1973-12-05T00:00:00Z,10.0,4.2
1974-01-10T00:00:00Z,10.0,2.3
1974-02-06T00:00:00Z,10.0,2.8
1974-03-13T00:00:00Z,10.0,2.8
1974-04-05T00:00:00Z,10.0,4.7
1974-05-13T00:00:00Z,10.0,8.8
1974-06-05T00:00:00Z,10.0,11.8
1974-07-02T00:00:00Z,9.0,16.1
1974-07-02T00:00:00Z,10.0,11.6
1974-07-02T00:00:00Z,12.0,10.7
1974-08-20T00:00:00Z,7.0,17.7
1974-08-20T00:00:00Z,8.0,16.8
1974-08-20T00:00:00Z,10.0,15.5
1974-09-09T00:00:00Z,10.0,15.3
1974-10-01T00:00:00Z,10.0,14.2
1974-11-06T00:00:00Z,10.0,8.2
1974-12-03T00:00:00Z,10.0,7.2
1975-01-07T00:00:00Z,10.0,5.7
1975-02-04T00:00:00Z,10.0,4.8
1975-03-04T00:00:00Z,10.0,3.4
1975-04-08T00:00:00Z,10.0,3.7
1975-05-21T00:00:00Z,10.0,11.4
1975-06-11T00:00:00Z,9.0,10.8
1975-06-11T00:00:00Z,10.0,10.5
1975-06-11T00:00:00Z,12.0,10.2
1975-07-01T00:00:00Z,10.0,16.0
1975-07-01T00:00:00Z,12.0,16.0
1975-08-04T00:00:00Z,8.0,17.3
1975-08-04T00:00:00Z,10.0,15.1
1975-09-02T00:00:00Z,10.0,18.9
1975-09-02T00:00:00Z,12.0,16.5
1975-10-02T00:00:00Z,10.0,14.1
1975-11-04T00:00:00Z,10.0,10.0
1975-12-02T00:00:00Z,10.0,6.7
1979-03-12T00:00:00Z,10.0,-0.25
1979-04-04T00:00:00Z,10.0,1.35
1979-04-19T00:00:00Z,10.0,3.45
1979-07-09T00:00:00Z,10.0,15.22
1979-08-15T00:00:00Z,10.0,13.18
1979-09-02T00:00:00Z,10.0,15.28
1979-10-01T00:00:00Z,10.0,13.13
1979-11-22T00:00:00Z,10.0,6.29
1980-01-28T00:00:00Z,10.0,0.5
1980-03-24T00:00:00Z,10.0,0.72
1980-05-06T00:00:00Z,10.0,5.93
1980-07-21T00:00:00Z,10.0,11.6
