observation_date,CHNPRENEL01MLM
1999-01-01,110140.00000000000
1999-02-01,81410.00000000000
1999-03-01,99010.00000000000
1999-04-01,93990.00000000000
1999-05-01,96920.00000000000
1999-06-01,105460.00000000000
1999-07-01,107120.00000000000
1999-08-01,107250.00000000000
1999-09-01,100360.00000000000
1999-10-01,99450.00000000000
1999-11-01,100300.00000000000
1999-12-01,110380.00000000000
2000-01-01,105230.00000000000
2000-02-01,95740.00000000000
2000-03-01,104390.00000000000
2000-04-01,103720.00000000000
2000-05-01,109780.00000000000
2000-06-01,109810.00000000000
2000-07-01,119370.00000000000
2000-08-01,117410.00000000000
2000-09-01,107900.00000000000
2000-10-01,108970.00000000000
2000-11-01,111440.00000000000
2000-12-01,119400.00000000000
2001-01-01,103700.00000000000
2001-02-01,105500.00000000000
2001-03-01,117080.00000000000
2001-04-01,111700.00000000000
2001-05-01,117790.00000000000
2001-06-01,119220.00000000000
2001-07-01,131070.00000000000
2001-08-01,126880.00000000000
2001-09-01,118850.00000000000
2001-10-01,118040.00000000000
2001-11-01,120200.00000000000
2001-12-01,131310.00000000000
2002-01-01,131673.00000000000
2002-02-01,101040.00000000000
2002-03-01,124097.00000000000
2002-04-01,124965.00000000000
2002-05-01,128372.00000000000
2002-06-01,135476.00000000000
2002-07-01,145804.00000000000
2002-08-01,145599.00000000000
2002-09-01,142655.00000000000
2002-10-01,138519.00000000000
2002-11-01,140800.00000000000
2002-12-01,151400.00000000000
2003-01-01,137600.00000000000
2003-02-01,117700.00000000000
2003-03-01,145800.00000000000
2003-04-01,142700.00000000000
2003-05-01,145400.00000000000
2003-06-01,151400.00000000000
2003-07-01,169900.00000000000
2003-08-01,170000.00000000000
2003-09-01,158500.00000000000
2003-10-01,158100.00000000000
2003-11-01,162500.00000000000
2003-12-01,171100.00000000000
2004-01-01,147970.00000000000
2004-02-01,157050.00000000000
2004-03-01,170670.00000000000
2004-04-01,167890.00000000000
2004-05-01,169290.00000000000
2004-06-01,174810.00000000000
2004-07-01,189880.00000000000
2004-08-01,192100.00000000000
2004-09-01,180950.00000000000
2004-10-01,184430.00000000000
2004-11-01,185880.00000000000
2004-12-01,193130.00000000000
2005-01-01,191490.00000000000
2005-02-01,160110.00000000000
2005-03-01,194050.00000000000
2005-04-01,189210.00000000000
2005-05-01,192470.00000000000
2005-06-01,200680.00000000000
2005-07-01,217890.00000000000
2005-08-01,216210.00000000000
2005-09-01,205330.00000000000
2005-10-01,201100.00000000000
2005-11-01,204190.00000000000
2005-12-01,224660.00000000000
2006-01-01,206340.00000000000
2006-02-01,196200.00000000000
2006-03-01,216160.00000000000
2006-04-01,211660.00000000000
2006-05-01,217530.00000000000
2006-06-01,230190.00000000000
2006-07-01,251710.00000000000
2006-08-01,257050.00000000000
2006-09-01,236480.00000000000
2006-10-01,232430.00000000000
2006-11-01,236340.00000000000
2006-12-01,257339.99999999997
2007-01-01,251240.00000000000
2007-02-01,196730.00000000000
2007-03-01,247200.00000000000
2007-04-01,247450.00000000000
2007-05-01,256870.00000000000
2007-06-01,271560.00000000000
2007-07-01,291570.00000000000
2007-08-01,298980.00000000000
2007-09-01,276010.00000000000
2007-10-01,272790.00000000000
2007-11-01,275470.00000000000
2007-12-01,294690.00000000000
2008-01-01,283152.00000000000
2008-02-01,233780.00000000000
2008-03-01,289780.00000000000
2008-04-01,281430.00000000000
2008-05-01,293380.00000000000
2008-06-01,293450.00000000000
2008-07-01,319540.00000000000
2008-08-01,316060.00000000000
2008-09-01,289250.00000000000
2008-10-01,264500.00000000000
2008-11-01,254020.00000000000
2008-12-01,273960.00000000000
2009-01-01,243350.00000000000
2009-02-01,244938.00000000000
2009-03-01,283360.00000000000
2009-04-01,271288.00000000000
2009-05-01,283890.00000000000
2009-06-01,310009.00000000000
2009-07-01,334498.00000000000
2009-08-01,344320.00000000000
2009-09-01,320333.00000000000
