date,labor_force_millions,employment_millions,unemployment_rate
2005-09-01,150.0,142.24,5.17
2005-10-01,150.23,142.14,5.39
2005-11-01,150.43,142.5,5.27
2005-12-01,150.55,142.99,5.02
2006-01-01,150.59,142.91,5.1
2006-02-01,150.57,142.54,5.33
2006-03-01,150.5,143.26,4.81
2006-04-01,150.44,142.88,5.02
2006-05-01,150.41,142.6,5.19
2006-06-01,150.45,143.08,4.9
2006-07-01,150.58,143.21,4.89
2006-08-01,150.77,143.35,4.92
2006-09-01,151.0,143.33,5.08
2006-10-01,151.24,143.99,4.79
2006-11-01,151.43,144.19,4.78
2006-12-01,151.56,144.36,4.75
2007-01-01,151.6,143.97,5.03
2007-02-01,151.57,144.01,4.99
2007-03-01,151.51,144.2,4.82
2007-04-01,151.44,144.31,4.71
2007-05-01,151.41,144.27,4.72
2007-06-01,151.46,144.22,4.78
2007-07-01,151.58,144.82,4.46
2007-08-01,151.77,144.69,4.67
2007-09-01,152.01,145.4,4.35
2007-10-01,152.24,145.56,4.39
2007-11-01,152.44,145.51,4.54
2007-12-01,152.56,146.11,4.23
2008-01-01,152.6,145.52,4.64
2008-02-01,152.58,145.24,4.81
2008-03-01,152.51,144.69,5.13
2008-04-01,152.44,144.7,5.08
2008-05-01,152.42,144.1,5.46
2008-06-01,152.46,143.54,5.85
2008-07-01,152.59,142.99,6.29
2008-08-01,152.78,142.97,6.42
2008-09-01,153.01,142.76,6.7
2008-10-01,153.25,142.47,7.03
2008-11-01,153.44,142.55,7.1
2008-12-01,153.56,142.06,7.49
2009-01-01,153.61,141.9,7.62
2009-02-01,153.58,141.65,7.77
2009-03-01,153.51,140.99,8.16
2009-04-01,153.45,140.34,8.54
2009-05-01,153.42,139.98,8.76
2009-06-01,153.47,139.68,8.98
2009-07-01,153.59,138.97,9.52
2009-08-01,153.78,139.11,9.54
2009-09-01,154.02,138.82,9.87
2009-10-01,154.25,138.41,10.27
2009-11-01,154.44,139.35,9.77
2009-12-01,154.57,139.53,9.73
2010-01-01,154.61,139.17,9.99
2010-02-01,154.59,139.71,9.62
2010-03-01,154.52,139.61,9.65
2010-04-01,154.45,139.47,9.7
2010-05-01,154.43,139.59,9.61
2010-06-01,154.47,139.58,9.64
2010-07-01,154.59,139.85,9.54
2010-08-01,154.79,140.21,9.42
2010-09-01,155.02,140.88,9.12
2010-10-01,155.25,140.91,9.24
2010-11-01,155.45,141.29,9.11
2010-12-01,155.57,141.82,8.84
2011-01-01,155.62,141.45,9.1
2011-02-01,155.59,141.66,8.95
2011-03-01,155.52,141.85,8.79
2011-04-01,155.46,141.95,8.69
2011-05-01,155.43,142.22,8.5
2011-06-01,155.47,142.1,8.6
2011-07-01,155.6,142.28,8.56
2011-08-01,155.79,142.81,8.33
2011-09-01,156.03,142.76,8.5
2011-10-01,156.26,143.51,8.16
2011-11-01,156.45,144.0,7.96
2011-12-01,156.58,143.63,8.27
2012-01-01,156.62,144.06,8.02
2012-02-01,156.59,144.1,7.98
2012-03-01,156.53,144.27,7.83
2012-04-01,156.46,144.46,7.67
2012-05-01,156.43,144.01,7.94
2012-06-01,156.48,144.54,7.63
2012-07-01,156.6,144.32,7.84
2012-08-01,156.8,144.77,7.67
2012-09-01,157.03,145.31,7.46
2012-10-01,157.26,145.78,7.3
2012-11-01,157.46,146.01,7.27
2012-12-01,157.58,146.33,7.14
2013-01-01,157.62,145.87,7.46
2013-02-01,157.6,146.31,7.16
2013-03-01,157.53,146.17,7.21
2013-04-01,157.47,146.68,6.85
2013-05-01,157.44,146.5,6.95
2013-06-01,157.48,146.46,7.0
2013-07-01,157.61,146.97,6.75
2013-08-01,157.8,147.01,6.84
2013-09-01,158.03,147.75,6.51
2013-10-01,158.27,148.12,6.41
2013-11-01,158.46,148.08,6.55
2013-12-01,158.58,148.47,6.38
2014-01-01,158.63,148.43,6.43
2014-02-01,158.6,149.01,6.05
2014-03-01,158.54,148.55,6.3
2014-04-01,158.47,148.23,6.46
2014-05-01,158.44,148.83,6.07
2014-06-01,158.49,148.96,6.01
2014-07-01,158.61,149.17,5.95
2014-08-01,158.8,149.85,5.64
2014-09-01,159.04,149.75,5.84
2014-10-01,159.27,150.48,5.52
2014-11-01,159.46,150.55,5.59
2014-12-01,159.59,150.46,5.72
2015-01-01,159.63,151.0,5.41
2015-02-01,159.61,150.78,5.53
2015-03-01,159.54,150.67,5.56
2015-04-01,159.47,150.8,5.44
2015-05-01,159.45,151.14,5.21
2015-06-01,159.49,151.04,5.3
2015-07-01,159.61,150.77,5.54
2015-08-01,159.81,151.77,5.03
2015-09-01,160.04,151.7,5.21
2015-10-01,160.28,152.04,5.14
