Category: All categories

Month,Apple: (Worldwide)
2004-01,20
2004-02,19
2004-03,18
2004-04,19
2004-05,17
2004-06,19
2004-07,21
2004-08,21
2004-09,23
2004-10,25
2004-11,24
2004-12,24
2005-01,27
2005-02,25
2005-03,24
2005-04,23
2005-05,24
2005-06,24
2005-07,22
2005-08,25
2005-09,29
2005-10,33
2005-11,29
2005-12,31
2006-01,28
2006-02,24
2006-03,23
2006-04,26
2006-05,24
2006-06,23
2006-07,24
2006-08,27
2006-09,33
2006-10,30
2006-11,29
2006-12,29
2007-01,34
2007-02,27
2007-03,25
2007-04,25
2007-05,22
2007-06,27
2007-07,27
2007-08,27
2007-09,35
2007-10,34
2007-11,32
2007-12,36
2008-01,34
2008-02,32
2008-03,29
2008-04,29
2008-05,26
2008-06,29
2008-07,32
2008-08,31
2008-09,35
2008-10,35
2008-11,32
2008-12,35
2009-01,29
2009-02,27
2009-03,28
2009-04,25
2009-05,25
2009-06,31
2009-07,27
2009-08,29
2009-09,33
2009-10,34
2009-11,33
2009-12,34
2010-01,39
2010-02,28
2010-03,27
2010-04,31
2010-05,31
2010-06,39
2010-07,37
2010-08,36
2010-09,41
2010-10,40
2010-11,38
2010-12,41
2011-01,38
2011-02,33
2011-03,41
2011-04,36
2011-05,36
2011-06,37
2011-07,38
2011-08,39
2011-09,41
2011-10,69
2011-11,47
2011-12,49
2012-01,42
2012-02,38
2012-03,45
2012-04,37
2012-05,35
2012-06,40
2012-07,39
2012-08,41
2012-09,70
2012-10,53
2012-11,51
2012-12,50
2013-01,42
2013-02,38
2013-03,37
2013-04,35
2013-05,33
2013-06,38
2013-07,34
2013-08,37
2013-09,60
2013-10,49
2013-11,47
2013-12,42
2014-01,37
2014-02,34
2014-03,33
2014-04,33
2014-05,34
2014-06,33
2014-07,32
2014-08,36
2014-09,65
2014-10,50
2014-11,43
2014-12,44
2015-01,37
2015-02,36
2015-03,42
2015-04,40
2015-05,35
2015-06,38
2015-07,41
2015-08,40
2015-09,57
2015-10,48
2015-11,44
2015-12,44
2016-01,38
2016-02,36
2016-03,40
2016-04,36
2016-05,36
2016-06,36
2016-07,35
2016-08,35
2016-09,59
2016-10,47
2016-11,47
2016-12,46
2017-01,40
2017-02,39
2017-03,37
2017-04,35
2017-05,36
2017-06,36
2017-07,38
2017-08,40
2017-09,53
2017-10,47
2017-11,50
2017-12,50
2018-01,42
2018-02,39
2018-03,38
2018-04,37
2018-05,36
2018-06,37
2018-07,39
2018-08,38
2018-09,54
2018-10,43
2018-11,50
2018-12,47
2019-01,40
2019-02,36
2019-03,39
2019-04,35
2019-05,36
2019-06,40
2019-07,37
2019-08,45
2019-09,100
2019-10,49
2019-11,51
2019-12,49
2020-01,43
2020-02,39
2020-03,36
2020-04,43
2020-05,43
2020-06,42
2020-07,45
2020-08,46
2020-09,56
2020-10,53
2020-11,53
2020-12,53
2021-01,46
2021-02,41
2021-03,40
2021-04,40
2021-05,40
2021-06,40
2021-07,37
2021-08,41
2021-09,53
2021-10,51
2021-11,52
2021-12,53
2022-01,51
2022-02,43
2022-03,44
2022-04,42
2022-05,41
2022-06,42
2022-07,45
2022-08,46
2022-09,58
2022-10,52
2022-11,49
2022-12,49
2023-01,46
2023-02,42
2023-03,41
2023-04,41
2023-05,40
2023-06,46
2023-07,46
2023-08,43
2023-09,55
2023-10,47
2023-11,50
2023-12,53
2024-01,47
2024-02,50
2024-03,45
2024-04,42
2024-05,45
2024-06,46
2024-07,44
2024-08,50
2024-09,59
2024-10,53
2024-11,57
2024-12,57
2025-01,52
2025-02,50
2025-03,49
2025-04,45
2025-05,48
2025-06,48
2025-07,49
2025-08,59
2025-09,80
2025-10,68
2025-11,65
2025-12,66
2026-01,54
